0.095238095,3.289473684
3.285714286,241.7763158
6.571428571,398.0263158
9.476190476,504.9342105
11.85714286,562.5
13.80952381,562.5
15.14285714,521.3815789
15.95238095,422.6973684
16.47619048,299.3421053
16.76190476,175.9868421
17,44.40789474
16.76190476,-78.94736842
15.9047619,-177.6315789
14.85714286,-251.6447368
14.52380952,-342.1052632
16.0952381,-383.2236842
18.9047619,-342.1052632
22.14285714,-210.5263158
25.28571429,44.40789474
27.95238095,365.1315789
30.19047619,751.6447368
32.0952381,1146.381579
33.80952381,1590.460526
35.23809524,2009.868421
36.57142857,2462.171053
37.80952381,2906.25
39,3358.552632
40,3819.078947
